id,post_parent,image,image_gallery,post_title,post_content,post_excerpt,post_name,post_date,_sku,product_cat,product_tag,_regular_price,_sale_price,_sale_price_dates_from,_sale_price_dates_to,_featured,_tax_status,_tax_class,_weight,_height,_width,_length,_stock,_stock_status,_manage_stock,_backorders,_sold_individually,product_shipping_class,grouped_items,_product_adminlink,_purchase_note,post_status,_visibility,_upsell_ids,_crosssell_ids,_downloadable,_virtual,_download_expiry,_download_limit,_downloadable_files,_download_type,_product_url,_button_text,comment_status,menu_order,product_type,_product_permalink,_default_attributes,_custom_attributes,_variation_description,post_author
5756,0,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/,,Men's grey and burgundy checked single breasted 3pcs suit.,"Color:?Grey

Composition :?Polly Viskon Wool Mix

Detail: One?buttons on the front, 3 side pockets, 6 buttons shawl lapel vest, dot seam, pointed collar suit, straight-leg trousers.

Care : Dry clean only

* Light in the studio shooting environment and visual reference to the ghosting or flare 5% color differences may occur.

<img class=""alignnone wp-image-2557 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size1_1646124672629.webp"" alt="""" width=""750"" height=""1434"" />

<img class=""alignnone wp-image-2558 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size2_1646124674848.webp"" alt="""" width=""790"" height=""608"" />",,mens-grey-and-burgundy-checked-single-breasted-3pcs-suit-2,2022/3/6 17:24,,Custom suit,,,,,,no,Taxable,Standard,,,,,999,instock,yes,Do not allow,no,,,post.php?post=5756&action=edit,,publish,Catalog/search,,,no,no,-1,-1,,,,,no,0,variable,https://alberton.xyz/product/mens-grey-and-burgundy-checked-single-breasted-3pcs-suit-2/,,[object Object],,perl
5758,5756,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/,,Men's grey and burgundy checked single breasted 3pcs suit. [#5756 var],,,,,mens-grey-and-burgundy-checked-single-breasted-3pcs-suit-2-,,,33.62,,,,,Taxable,Standard,,,,,,instock,no,Do not allow,no,,,,,publish,,,,no,no,-1,-1,,,,,no,1,,,,[object Object],,
5752,0,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/,,Men's tan plaid and burgundy vest single breasted 3pcs suit.,"Color:?Tan + Burgundy

Composition :?Polly Viskon Wool Mix

Detail: One?buttons on the front, 3 side pockets, 6 buttons shawl lapel vest, dot seam, pointed collar suit, straight-leg trousers.

Care : Dry clean only

* Light in the studio shooting environment and visual reference to the ghosting or flare 5% color differences may occur.

<img class=""alignnone wp-image-2557 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size1_1646124672629.webp"" alt="""" width=""750"" height=""1434"" />

<img class=""alignnone wp-image-2558 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size2_1646124674848.webp"" alt="""" width=""790"" height=""608"" />",,mens-tan-plaid-and-burgundy-vest-single-breasted-3pcs-suit,2022/3/6 17:16,,Custom suit,,,,,,no,Taxable,Standard,,,,,999,instock,yes,Do not allow,no,,,post.php?post=5752&action=edit,,publish,Catalog/search,,,no,no,-1,-1,,,,,no,0,variable,https://alberton.xyz/product/mens-tan-plaid-and-burgundy-vest-single-breasted-3pcs-suit/,,[object Object],,perl
5755,5752,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/,,Men's tan plaid and burgundy vest single breasted 3pcs suit. [#5752 var],,,,,mens-tan-plaid-and-burgundy-vest-single-breasted-3pcs-suit-,,,30.33,,,,,Taxable,Standard,,,,,,instock,no,Do not allow,no,,,,,publish,,,,no,no,-1,-1,,,,,no,1,,,,[object Object],,
5747,0,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2f7b80404d5b26cea5c43457fbb61ce7.jpg|https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/0362fb1fde854161e6e5c05e48a11526.jpg,Men's grey plaid wide lapel 3pcs suit.,"Color:?Grey

Composition :?Polly Viskon Wool Mix

Detail:?One?button on the front,?3?side pockets,?wide?peak lapel,?straight-leg?pant.

Care : Dry clean only

* Light in the studio shooting environment and visual reference to the ghosting or flare 5% color differences may occur.

<img class=""alignnone wp-image-2557 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size1_1646124672629.webp"" alt="""" width=""750"" height=""1434"" />

<img class=""alignnone wp-image-2558 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size2_1646124674848.webp"" alt="""" width=""790"" height=""608"" />",,mens-grey-plaid-wide-lapel-3pcs-suit,2022/3/6 17:10,mens-grey-plaid-wide-lapel-3pcs-suit,Custom suit,,,,,,no,Taxable,Standard,,,,,999,instock,yes,Do not allow,no,,,post.php?post=5747&action=edit,,publish,Catalog/search,,,no,no,-1,-1,,,,,no,0,variable,https://alberton.xyz/product/mens-grey-plaid-wide-lapel-3pcs-suit/,,[object Object],,perl
5751,5747,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/,,Men's grey plaid wide lapel 3pcs suit. [#5747 var],,,,,mens-grey-plaid-wide-lapel-3pcs-suit-,,,30.33,,,,,Taxable,Standard,,,,,,instock,no,Do not allow,no,,,,,publish,,,,no,no,-1,-1,,,,,no,1,,,,[object Object],,
5743,0,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/,,Men＊s tan plaid single breasted 3pcs suit,"Color:?Tan

Composition :?Polly Viskon Wool Mix

Detail: One?buttons on the front, 3 side pockets, 6 buttons shawl lapel vest, dot seam, pointed collar suit, straight-leg trousers.

Care : Dry clean only

* Light in the studio shooting environment and visual reference to the ghosting or flare 5% color differences may occur.

<img class=""alignnone wp-image-2557 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size1_1646124672629.webp"" alt="""" width=""750"" height=""1434"" />

<img class=""alignnone wp-image-2558 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size2_1646124674848.webp"" alt="""" width=""790"" height=""608"" />",,mens-tan-plaid-single-breasted-3pcs-suit,2022/3/6 17:04,mens-tan-plaid-single-breasted-3pcs-suit,Custom suit,,,,,,no,Taxable,Standard,,,,,999,instock,yes,Do not allow,no,,,post.php?post=5743&action=edit,,publish,Catalog/search,,,no,no,-1,-1,,,,,no,0,variable,https://alberton.xyz/product/mens-tan-plaid-single-breasted-3pcs-suit/,,[object Object],,perl
5745,5743,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/,,Men＊s tan plaid single breasted 3pcs suit [#5743 var],,,,,mens-tan-plaid-single-breasted-3pcs-suit-,,,30.33,,,,,Taxable,Standard,,,,,,instock,no,Do not allow,no,,,,,publish,,,,no,no,-1,-1,,,,,no,1,,,,[object Object],,
5739,0,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/,,Men's light blue and burgundy checked single breasted 3pcs suit,"Color: Light Blue

Composition :?Polly Viskon Wool Mix

Detail: One?buttons on the front, 3 side pockets, 6 buttons shawl lapel vest, dot seam, pointed collar suit, straight-leg trousers.

Care : Dry clean only

* Light in the studio shooting environment and visual reference to the ghosting or flare 5% color differences may occur.

<img class=""alignnone wp-image-2557 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size1_1646124672629.webp"" alt="""" width=""750"" height=""1434"" />

<img class=""alignnone wp-image-2558 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size2_1646124674848.webp"" alt="""" width=""790"" height=""608"" />",,mens-light-blue-and-burgundy-checked-single-breasted-3pcs-suit,2022/3/6 16:59,mens-light-blue-and-burgundy-checked-single-breasted-3pcs-suit,Custom suit,,,,,,no,Taxable,Standard,,,,,999,instock,yes,Do not allow,no,,,post.php?post=5739&action=edit,,publish,Catalog/search,,,no,no,-1,-1,,,,,no,0,variable,https://alberton.xyz/product/mens-light-blue-and-burgundy-checked-single-breasted-3pcs-suit/,,[object Object],,perl
5741,5739,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/,,Men's light blue and burgundy checked single breasted 3pcs suit [#5739 var],,,,,mens-light-blue-and-burgundy-checked-single-breasted-3pcs-suit-,,,33.62,,,,,Taxable,Standard,,,,,,instock,no,Do not allow,no,,,,,publish,,,,no,no,-1,-1,,,,,no,1,,,,[object Object],,
