ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Veb Variation Gallery Images,Swatches Attributes,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
2243,variable,mens-navy-blue-2pcs-double-breasted-suit,Men's navy blue 2pcs double breasted suit.,1,0,visible,,"Color: Navy-Blue\n\nComposition :?Polly Viskon Wool Mix\n\nDetail:?Four?buttons on the front, Two buttons on the chest, 3 side pockets, dot seam, pointed collar suit, straight-leg trousers.\n\nCare : Dry clean only\n\n* Light in the studio shooting environment and visual reference to the ghosting or flare 5% color differences may occur.\n\n<img class=""alignnone wp-image-2557 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size1_1646124672629.webp"" alt="""" width=""730.59"" height=""1434"" />\n\n<img class=""alignnone wp-image-2558 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size2_1646124674848.webp"" alt="""" width=""790"" height=""608"" />",,,taxable,,1,999,,0,0,,,,,0,,,,Custom suit,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2ef2c9674d51f855ed404ce4c7566414.jpg,,,,,,,,,0,,,Suit Size,"36, 38, 40, 42, 44, 46, 48, 30.59",1,0,,,,
2259,variable,mens-sacramento-green-double-breasted-2pcs-suit,Men's Sacramento green double breasted 2pcs suit.,1,0,visible,&nbsp;\n\n&nbsp;,"Color:?Sacramento-Green\n\nComposition :?Polly Viskon Wool Mix\n\nDetail:?Four?buttons on the front, Two buttons on the chest, 3 side pockets, dot seam, pointed collar suit, straight-leg trousers.\n\nCare : Dry clean only\n\n* Light in the studio shooting environment and visual reference to the ghosting or flare 5% color differences may occur.\n\n<img class=""alignnone wp-image-2557 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size1_1646124672629.webp"" alt="""" width=""730.59"" height=""1434"" />\n\n<img class=""alignnone wp-image-2558 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/size2_1646124674848.webp"" alt="""" width=""790"" height=""608"" />\n\n&nbsp;\n\n&nbsp;\n\n&nbsp;",,,taxable,,1,999,,0,0,,,,,0,,,,Custom suit,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/735721a7a1547b8a99c68c7d4bd5f8ad.jpg,,,,,,,,,0,,,Suit Size,"36, 38, 40, 42, 44, 46, 48, 30.59",1,0,,,,
2262,variable,italian-blue-wool-linen-suit,ITALIAN BLUE WOOL LINEN SUIT,1,0,visible,,"Look features a 2 button jacket with notch lapels, real horn royal buttons, single vent, two cuff buttons and two welted back pockets on trousers.\n<ul>\n 	<li>Fabric: 80% Wool, 15% Linen and 5% Silk, Woven in Italy</li>\n 	<li>Color Family: Blue/Brown</li>\n 	<li>Weight: 240gr</li>\n</ul>\nYou can change the look during customization if required.\n\nLining: Viscose; Dry Clean.\n\n<img class=""alignnone wp-image-2256 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/9bce67da48bc03db70791d7142cef9aa-1.png"" alt="""" width=""730.59"" height=""1434"" />\n\n<img class=""alignnone wp-image-2257 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/17acb537d6e2bb1d4f17defa79798ab2-1.png"" alt="""" width=""790"" height=""608"" />\n\n&nbsp;",,,taxable,,1,999,,0,0,,,,,0,,,,Linen suit,,,"https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/8ba5b035612f130.5972e959bc51a70c2da.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/8bfd07c834318fd6a91eca38a93630.5941.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/37248cea94552f630.5922dae28f83895ca.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/843c6775e4794f6e5f8d1d4e762a411b.jpg",,,,,,,,,0,,,Suit Size,"36, 38, 40, 42, 44, 46, 48, 30.59, 52, 54, 56, 58, 60",1,0,,,,
2263,variation,italian-blue-wool-linen-suit-,ITALIAN BLUE WOOL LINEN SUIT,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.89,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/8ba5b035612f130.5972e959bc51a70c2da.jpg,,,italian-blue-wool-linen-suit,,,,,,1,,,Suit Size,,,0,,,,
2268,variable,mens-white-tux-with-black-pearls-on-peak-lapel-2pcs-tux,Men's white tux with black pearls on peak lapel 2pcs tux,1,0,visible,"This week's special event: Randomly selected 30.59 lucky customers to get double the order product every day.\n\nWe will send you an email, please remember to check, thanks for your support\n\n96.9% Of Customers Buy 2 Or More","<p class=""_tgt transPara grammarSection""><span class=""transSent"" data-group=""0-0"">The white color ?</span></p>\n<p class=""_tgt transPara grammarSection""><span class=""transSent"" data-group=""1-0"">?</span><span class=""transSent"" data-group=""2-0"">Ingredients: 100% wool ?</span></p>\n<p class=""_tgt transPara grammarSection""><span class=""transSent"" data-group=""3-0"">?</span><span class=""transSent"" data-group=""4-0"">Details: front 1 button, 2 side pockets, cape lapel, straight pants ?</span></p>\n<p class=""_tgt transPara grammarSection""><span class=""transSent"" data-group=""6-0"">?Fit: Classic cut ?</span></p>\n<p class=""_tgt transPara grammarSection""><span class=""transSent"" data-group=""7-0"">?</span><span class=""transSent"" data-group=""8-0"">Care: dry clean only ?</span></p>\n<p class=""_tgt transPara grammarSection""><span class=""transSent"" data-group=""9-0"">?</span><span class=""transSent"" data-group=""10-0"">Ghosting or 5% chromatic aberration of glare may occur in light and visual references in studio environments. ?</span></p>\n<img class=""alignnone wp-image-2256 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/9bce67da48bc03db70791d7142cef9aa-1.png"" alt="""" width=""730.59"" height=""1434"" />\n\n<img class=""alignnone wp-image-2257 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/17acb537d6e2bb1d4f17defa79798ab2-1.png"" alt="""" width=""790"" height=""608"" />",,,taxable,,1,999,,0,0,,,,,0,,,,Evening dress,,,"https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/56da286ce03db570e6a8a74c1783786b.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/090c7bf26725f7f29204325ff6966458.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/6902bb2f7205d37b337782ef901abeff.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2f05258b5563c9e09277a734a338330.59d.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/d820198d220963205895be6fdb4ddf3e.jpg",,,,,,,,,0,,,Suit Size,"36, 38, 40, 42, 44, 46, 48, 30.59, 52, 54, 56, 58, 60",1,0,,,,
2269,variation,mens-white-tux-with-black-pearls-on-peak-lapel-2pcs-tux-,Men's white tux with black pearls on peak lapel 2pcs tux,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,38.99,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/56da286ce03db570e6a8a74c1783786b.jpg,,,mens-white-tux-with-black-pearls-on-peak-lapel-2pcs-tux,,,,,,1,,,Suit Size,,,0,,,,
2275,variation,mens-navy-blue-2pcs-double-breasted-suit-36,Men's navy blue 2pcs double breasted suit. - 36,1,0,visible,,,,,taxable,parent,1,999,,0,0,,,,,0,,,31.59,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2ef2c9674d51f855ed404ce4c7566414.jpg,,,mens-navy-blue-2pcs-double-breasted-suit,,,,,,1,,,Suit Size,36,,0,,,,
2276,variation,mens-navy-blue-2pcs-double-breasted-suit-38,Men's navy blue 2pcs double breasted suit. - 38,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.59,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2ef2c9674d51f855ed404ce4c7566414.jpg,,,mens-navy-blue-2pcs-double-breasted-suit,,,,,,2,,,Suit Size,38,,0,,,,
2277,variation,mens-navy-blue-2pcs-double-breasted-suit-40,Men's navy blue 2pcs double breasted suit. - 40,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.59,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2ef2c9674d51f855ed404ce4c7566414.jpg,,,mens-navy-blue-2pcs-double-breasted-suit,,,,,,3,,,Suit Size,40,,0,,,,
2278,variation,mens-navy-blue-2pcs-double-breasted-suit-42,Men's navy blue 2pcs double breasted suit. - 42,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.59,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2ef2c9674d51f855ed404ce4c7566414.jpg,,,mens-navy-blue-2pcs-double-breasted-suit,,,,,,4,,,Suit Size,42,,0,,,,
